User_ID,Cust_name,Product_ID,Gender,Age_Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Avg_Order_Value
1002903,Sanskriti,P00125942,Female,26-35,28,0,Maharashtra,Western,Healthcare,Auto,1,23952,23952
1000732,Kartik,P00110942,Female,26-35,35,1,Andhra Pradesh,Southern,Govt,Auto,3,23934,7978
1001990,Bindu,P00118542,Female,26-35,35,1,Uttar Pradesh,Central,Automobile,Auto,3,23924,7974.666667
1001425,Sudevi,P00237842,Male,0-17,16,0,Karnataka,Southern,Construction,Auto,2,23912,11956
1000588,Joni,P00057942,Male,26-35,28,1,Gujarat,Western,Food Processing,Auto,2,23877,11938.5
1000588,Joni,P00057942,Male,26-35,28,1,Himachal Pradesh,Northern,Food Processing,Auto,1,23877,23877
1001132,Balk,P00018042,Female,18-25,25,1,Uttar Pradesh,Central,Lawyer,Auto,4,23841,5960.25
1003224,Kushal,P00205642,Male,26-35,35,0,Uttar Pradesh,Central,Govt,Auto,2,23809,11904.5
1003650,Ginny,P00031142,Female,26-35,26,1,Andhra Pradesh,Southern,Media,Auto,4,23799,5949.75
1003829,Harshita,P00200842,Male,26-35,34,0,Delhi,Central,Banking,Auto,1,23770,23770
1000214,Kargatis,P00119142,Female,18-25,20,0,Andhra Pradesh,Southern,Retail,Auto,2,23752,11876
1004035,Elijah,P00080342,Female,18-25,20,1,Andhra Pradesh,Southern,IT Sector,Auto,2,23730,11865
1001680,Vasudev,P00324942,Male,26-35,26,1,Andhra Pradesh,Southern,Automobile,Auto,4,23718,5929.5
1000813,Lauren,P00289942,Female,18-25,24,0,Andhra Pradesh,Southern,Govt,Auto,2,23664,11832
1001193,Mick,P00004842,Female,26-35,29,0,Andhra Pradesh,Southern,Aviation,Auto,1,23619,23619
1001883,Praneet,P00029842,Male,51-55,54,1,Uttar Pradesh,Central,Hospitality,Auto,1,23568,23568
1001883,Praneet,P00029842,Male,51-55,54,1,Uttar Pradesh,Central,Hospitality,Auto,1,23568,23568
1000113,Ellis,P00180642,Female,18-25,19,1,Andhra Pradesh,Southern,Govt,Auto,4,23546,5886.5
1000416,Hrisheekesh,P00181842,Female,46-50,46,1,Uttar Pradesh,Central,Banking,Auto,2,23525,11762.5
1005256,Grant,P00101742,Female,26-35,30,0,Andhra Pradesh,Southern,IT Sector,Auto,1,23518,23518
1001505,Gilcrest,P00271842,Female,51-55,53,0,Uttar Pradesh,Central,Automobile,Auto,2,23515,11757.5
1000900,Skaria,P00317842,Male,55+,83,0,Karnataka,Southern,Automobile,Auto,3,23513,7837.666667
1005908,Eric,P00282642,Female,26-35,33,0,Andhra Pradesh,Southern,IT Sector,Auto,3,23462,7820.666667
1001101,Gibson,P00234742,Female,36-45,40,0,Uttar Pradesh,Central,Banking,Auto,3,23456,7818.666667
